==== START logs for container coredns of pod kube-system/coredns-6d4b75cb6d-hg62f ====
[INFO] plugin/ready: Still waiting on: "kubernetes"
.:53
[INFO] plugin/reload: Running configuration MD5 = db32ca3650231d74073ff4cf814959a7
CoreDNS-1.8.6
linux/amd64, go1.17.1, 13a9191
[INFO] Reloading
[INFO] plugin/health: Going into lameduck mode for 5s
[INFO] plugin/reload: Running configuration MD5 = bc01953dbef007fb87b1d2d15ca53ab8
[INFO] Reloading complete
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:59962->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:60586->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:32856->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:34834->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:35294->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:35440->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:35534->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:35532->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:35768->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:35956->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:35954->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:36240->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:36424->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:37446->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:38712->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:39388->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:39386->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:43242->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:43490->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:43828->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:44012->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:44662->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:45368->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:45742->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:45740->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:46344->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:46346->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:47382->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:48152->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:48150->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:48276->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:49518->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:51006->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:51008->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:51754->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:52750->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:52752->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:53646->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:55370->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:56164->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:56972->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:56970->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:57670->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:57668->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:58484->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:58596->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:59656->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:60106->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:60704->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:60706->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:33324->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:34032->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:34030->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:35062->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:35064->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:44900->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:45264->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:45664->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:46020->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:46022->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:45904->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:46090->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:46296->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:46510->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:46742->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:47062->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:47482->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:48270->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:48872->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:49828->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:49984->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:50036->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:50034->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:50280->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:50378->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:51006->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:51346->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:52754->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:52816->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:52818->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.2:53068->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:53066->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:53426->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:59548->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.2:59644->172.18.0.1:53: i/o timeout
