==== START logs for container coredns of pod kube-system/coredns-6d4b75cb6d-2fdcj ====
[INFO] plugin/ready: Still waiting on: "kubernetes"
.:53
[INFO] plugin/reload: Running configuration MD5 = db32ca3650231d74073ff4cf814959a7
CoreDNS-1.8.6
linux/amd64, go1.17.1, 13a9191
[INFO] Reloading
[INFO] plugin/health: Going into lameduck mode for 5s
[INFO] plugin/reload: Running configuration MD5 = bc01953dbef007fb87b1d2d15ca53ab8
[INFO] Reloading complete
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:56682->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:56684->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:56866->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:56868->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:56984->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:57258->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:57260->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:57586->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:58474->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:58476->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:59444->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:59446->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:60194->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:60464->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:32836->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:33644->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:34930->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:34934->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:36606->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:36610->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:37284->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. A: read tcp 10.244.0.3:37582->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 istiod.istio-system.svc. AAAA: read tcp 10.244.0.3:38230->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. A: read tcp 10.244.0.3:37910->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. AAAA: read tcp 10.244.0.3:37914->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 storage.googleapis.com. A: read tcp 10.244.0.3:38966->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 storage.googleapis.com. AAAA: read tcp 10.244.0.3:38968->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:42978->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:44080->172.18.0.1:53: i/o timeout
